,Armed Actors/ Security Personnel Casualties Total,Civilian Casualties Total,Civilians Injured,Civilians Killed,Country,Date,Description,Location,Province
234,2,0,0,0,Afghanistan,12/05/2020,Roadside bomb in Kandahar kills 2 police,No Information,Kandahar
236,1,0,0,0,Afghanistan,09/05/2020,Roadside bomb kills 1 police officer in Kandahar city,Urban Residential,Kandahar
239,2,0,0,0,Afghanistan,02/05/2020,Bomb in shop in Kandahar City detonated when police pass killing 1 ,Commercial Premises,Kandahar
250,4,0,0,0,Afghanistan,23/06/2020,4 soldiers injured in bomb blast in Kandahar in Aino Mena road,Road,Kandahar
268,2,0,0,0,Afghanistan,24/06/2020,2 police killed in roadside bomb blast in Kandahar,Road,Kandahar
296,4,14,14,0,Afghanistan,08/07/2020,Suicide truck bomber targeted police district HQ in Kandahar,Police Station,Kandahar
302,25,0,0,0,Afghanistan,15/07/2020,15 Taliban killed and 10 injured in airstrike in Kandahar,No Information,Kandahar
306,0,4,4,0,Afghanistan,14/07/2020,3 killed and intelligence officer wounded in roadside bombing in Kandahar,Road,Kandahar
317,25,0,0,0,Afghanistan,20/07/2020,NATO airstrike killed 25 Taliban fighters in Kandahar's Takht-e-Pol town,No Information,Kandahar
337,2,2,1,1,Afghanistan,23/07/2020,1 civilian and 1 police killed in roadside bomb in Kandahar City,Road,Kandahar
343,5,0,0,0,Afghanistan,22/07/2020,Roadside bomb killed 1 police near kandahar University,Road,kandahar
356,0,5,3,2,Afghanistan,07/08/2020,2 killed and 3 injured in roadside bomb explosion in Kandahar,Village,Kandahar
364,0,10,6,4,Afghanistan,13/08/2020,Explosion in southern Kandahar killed 4 and injured 6 in Panjwai district,Road,Kandahar
365,0,11,6,5,Afghanistan,13/08/2020,5 killed and 6 injured in landmine blast in Kandahar,Road,Kandahar
380,0,2,0,2,Afghanistan,21/08/2020,2 civilians killed in IED explosion in Kandahar,Road,Kandahar
381,2,0,0,0,Afghanistan,21/08/2020,2 planting bomb killed as it detonates in Kandahar,Road,Kandahar
390,0,13,0,13,Afghanistan,28/08/2020,13 killed by IED in Kandahar province's Spin Boldak district,Urban Residential,Kandahar
391,0,4,1,3,Afghanistan,28/08/2020,Second blast in Kandahar kills 3 including 2 children ,Urban Residential,Kandahar
427,0,5,2,3,Afghanistan,03/08/2020,Roadside bomb  explosion in Kacha Ziarat area of Spin Boldak District killed 3,Road,Kandahar
444,18,0,0,0,Afghanistan,10/09/2020,Police injured in car bomb explosion in Kandahar,Armed Base,Kandahar
447,40,0,0,0,Afghanistan,12/09/2020,40 Taliban killed in Shahwali Kot district in Kandahar,No Information,Kandahar
469,1,0,0,0,Afghanistan,30/09/2020,Bomb blast in Kandahar injures police chief ,Road,Kandahar
479,4,0,0,0,Afghanistan,27/09/2020,Roadside bomb in Kandahar kills 1 police and 3 injured,Urban Residential,Kandahar
524,2,0,0,0,Afghanistan,21/10/2020,Roadside bomb in Kandahar injured two Romanian soldiers ,Road,Kandahar
538,100,0,0,0,Afghanistan,01/11/2020,60 Taliban killed and 40 injured in airstrikes on Kandahar's Mandozai area,No Information,Kandahar
544,13,0,0,0,Afghanistan,03/11/2020,13 taliban killed in Afghan airstrikes in Kandahar ,No Information,Kandahar
548,4,0,0,0,Afghanistan,06/11/2020,1 policeman was killed and three others injured as a roadside bomb struck police vehicle in Kandahar city,Urban Residential,Kandahar
549,0,6,1,5,Afghanistan,28/10/2020,Roadside bomb in Sarkarez area of Maiwand District kills five civilians,Road,Kandahar
578,0,5,3,2,Afghanistan,08/11/2020,2 killed and 3 injured in roadside bomb blast in Kandahar's Tabin village,Village,Kandahar
581,14,49,36,13,Afghanistan,08/11/2020,"14 killed, including bomber, and 49 wounded in car bomb in maiwand district - NYT reports 4 deaths and 40 injuried",Market,Kandahar
592,0,4,0,4,Afghanistan,10/11/2020,4 women killed in rocket attack in Zhairi district of Kandahar,Village,Kandahar
604,0,2,2,0,Afghanistan,22/11/2020,"2 injured, including a child, in Dand district in Kandahar ",Road,Kandahar
607,44,0,0,0,Afghanistan,20/11/2020,39 Taliban killed and 5 injured in airstrike in Panjwai District of kandahar,No Information,kandahar
611,11,4,4,0,Afghanistan,25/11/2020,6 police injured in car explosion in Kandahar city,Urban Residential,Kandahar
627,10,0,0,0,Afghanistan,05/12/2020,Car bomb explosion at police checkpoint kills 3 police in Kandahar,Police Station,Kandahar
628,11,22,22,0,Afghanistan,07/12/2020,33 wounded in car bomb blast outside police station in Kandahar - 15 civilians and 7 employees and armed personnel,Police Station,Kandahar
630,12,0,0,0,Afghanistan,10/12/2020,12 Taliban killed in airstrike in Kandahar's Zhari district,No Information,Kandahar
634,0,22,20,2,Afghanistan,19/11/2020,2 killed and 20 injured in bomb explosion in 3rd Police District in Kandahar,Urban Residential,Kandahar
644,0,3,1,2,Afghanistan,08/11/2020,2 killed and another wounded in roadside bomb explosion in Kandahar City,Road,Kandahar
680,0,5,1,4,Afghanistan,21/12/2020,4 civilians killed and 1 wounded when tricycle vehicle struck IED in Kandahar,Village,Kandahar
89,3,0,0,0,Afghanistan,18/03/2020,Roadside bomb explosion kills 2 police  and wounded another in Kapisa,Road,Kapisa
93,1,6,3,3,Afghanistan,25/03/2020,3 killed and 3 injured in mortar fire on vehicle in Tagab district,Road,Kapisa
114,0,4,3,1,Afghanistan,18/04/2020,1 killed and 3 wounded in mortar shelling on Kapisa province,Urban Residential,Kapisa
276,0,11,8,3,Afghanistan,15/06/2020,Mortar shell fired by Taliban hit civilian home killing 3 in Kapisa,Urban Residential,Kapisa
311,1,11,8,3,Afghanistan,18/07/2020,Rocket hits  district office building of Tagab district in eastern Kapisa province killing 3 civilians,Public Building,Kapisa
376,0,4,3,1,Afghanistan,20/08/2020,1 killed and 3 injured in mortar attack on home in Kapisa,Urban Residential,Kapisa
382,0,5,4,1,Afghanistan,23/08/2020,1 killed and 4 injured in Taliban mortar attack in Kapisa,Urban Residential,Kapisa
483,8,0,0,0,Afghanistan,21/09/2020,8 police killed in Taliban attack using rocket fire in Tagab district,Armed Base,Kapisa
499,0,3,0,3,Afghanistan,07/10/2020,3 killed in Kapisa's Khisha Chena area by bomb blast,Road,Kapisa
662,0,2,1,1,Afghanistan,16/12/2020,Anti-crimes official killed and another wounded in magnetic bomb blast in Kapisa,Village,Kapisa
71,0,14,11,3,Afghanistan,02/03/2020,Motorcycle bomb kills 3 at football match in Khost,Entertainment,Khost
146,3,12,12,0,Afghanistan,21/04/2020,Suicide car bomb hits governor's car in Khost wounding 2 bodyguards and 12 civilians,No Information,Khost
170,2,2,1,1,Afghanistan,08/05/2020,Police chief and 2 others killed in roadside bomb in Khost,Road,Khost
183,0,6,6,0,Afghanistan,17/05/2020,Roadside bomb injures 6 in Khost including 3 medical workers,Road,Khost
253,0,7,3,4,Afghanistan,26/06/2020,4 killed in mortar shelling on home in Khost province,Urban Residential,Khost
421,0,3,1,2,Afghanistan,10/08/2020,Taliban roadside bomb kills 2 in Khost's Malangi Khwla area,Road,Khost
480,0,5,4,1,Afghanistan,27/09/2020,1 killed and 4 injured by explosives hidden in bicycle in Khost,Town Centre,Khost
481,2,2,0,2,Afghanistan,10/09/2020,Bomb attached to motorcycle during wedding reception in Kundi area of Khost,Urban Residential,Khost
534,22,9,9,0,Afghanistan,27/10/2020,"6, including 4 attackers, killed and 25 others injured in car bomb and gun fight near police base in Khost - figures disputed by doctor",Armed Base,Khost
678,2,10,7,3,Afghanistan,22/12/2020,4 killed and 8 injured in roadside bomb blast in Khost,No Information,Khost
691,1,2,2,0,Afghanistan,28/12/2020,1 member of the security forces and wounded two other people in roadside bomb blast in Khost,Road,Khost
702,3,1,1,0,Afghanistan,24/12/2020,Police truck detonated by Taliban roadside bomb in Nakarmora intersection in Khost City,Road,Khost
34,10,0,0,0,Afghanistan,08/02/2020,10 Taliban killed in airstrike on Chawkay district,No Information,Kunar
42,10,0,0,0,Afghanistan,09/02/2020,10 Taliban killed in airstrike on Chawkay district,No Information,Kunar
55,1,0,0,0,Afghanistan,12/02/2020,Senior TTP leader killed in roadside bomb blast in Kunar,Road,Kunar
72,7,0,0,0,Afghanistan,05/03/2020,US airstrike kill 8 ISIS in Kunar,No Information,Kunar
193,0,2,1,1,Afghanistan,27/05/2020,Man killed and girl injured in mortar shelling in Kunar,Urban Residential,Kunar
359,0,11,2,9,Afghanistan,09/08/2020,Civilians hit roadside bomb near Shana Nari village killing 9,Village,Kunar
443,1,5,3,2,Afghanistan,08/09/2020,"3, including security personnel, killed and 3 injured in roadside bomb in Kunar",Road,Kunar
519,0,5,4,1,Afghanistan,19/10/2020,1 killed and 4 injured in shelling by Pakistan on Kunar,Urban Residential,Kunar
49,5,0,0,0,Afghanistan,09/02/2020,2 police killed in roadside bomb blast in Kunduz,Road,Kunduz
85,0,9,8,1,Afghanistan,17/02/2020,Child killed and 8 family members injured in Taliban mortar explosion in Kunduz,Urban Residential,Kunduz
91,2,9,0,9,Afghanistan,22/03/2020,Airstrike kill 11 of one family in Kunduz,Village,Kunduz
117,3,0,0,0,Afghanistan,26/03/2020,2 police killed and 1 wounded in Taliban rocket attack on Humvee in Kunduz,Road,Kunduz
122,0,10,6,4,Afghanistan,22/03/2020,4 civilians killed and 6 wounded in airstrike targeting Taliban in Kunduz,Urban Residential,Kunduz
163,2,0,0,0,Afghanistan,29/04/2020,Afghan air strike on Taliban in Kunduz kills 1 and kills 1 Afghan soldier in their custody,No Information,Kunduz
199,0,13,6,7,Afghanistan,01/06/2020,Landmine blast kills 7 farm laborers in Kunduz,Road,Kunduz
210,0,13,6,7,Afghanistan,02/06/2020,7 killed in roadside bomb blast in Kunduz,Road,Kunduz
327,0,6,4,2,Afghanistan,26/07/2020,2 killed and 4 injured in mortar attack on sports ground in Dasht-e-Archi district,Entertainment,Kunduz
374,0,8,8,0,Afghanistan,19/08/2020,8 wounded in mortar attack on northern Kunduz province,Urban Residential,Kunduz
375,0,3,0,3,Afghanistan,21/08/2020,3 children killed in mortar attack on home in Dasht-e-Archi district,Urban Residential,Kunduz
404,0,4,0,4,Afghanistan,24/08/2020,4 civilians killed in mortar strike on home in Kunduz,Urban Residential,Kunduz
454,9,30,18,12,Afghanistan,19/09/2020,Double tap airstrike on Taliban gathering in Kunduz leaves civilian casualties as they gathered at site of first strike to extinguish flames at a home - a range of casualty totals for both civilians and Taliban,Village,Kunduz
462,0,3,3,0,Afghanistan,24/09/2020,Bomb hits car in Kunduz city wounding 3 ,Town Centre,Kunduz
464,0,10,4,6,Afghanistan,26/09/2020,6 killed and 4 injured in roadside bomb blast in Kunduz,Road,Kunduz
492,0,3,0,3,Afghanistan,06/09/2020,3 killed when mortar hits home in Kamal village in Kunduz province,Village,Kunduz
505,0,12,7,5,Afghanistan,12/10/2020,5 killed in mortar attack in Kunduz's  Shorabi Qeshlaq neighborhood,Urban Residential,Kunduz
539,10,0,0,0,Afghanistan,01/11/2020,4 bodyguards killed and 6 injured in mortar attack on Kunduz,Public Building,Kunduz
543,3,0,0,0,Afghanistan,01/11/2020,Roadside bomb kills commander and injures 2 servicemen in Kunduz,Road,Kunduz
545,0,25,20,5,Afghanistan,04/11/2020,5 killed and 20 injured in airstrike on Kunduz's Khanabad district after civilians attempted to steal equipment from military base,No Information,Kunduz
551,1,0,0,0,Afghanistan,26/10/2020,Roadside bomb kills soldier in Mullah Sardar area of Kunduz City,Road,Kunduz
595,4,0,0,0,Afghanistan,13/11/2020,2 police killed by roadside bomb on way to army base in Kunduz,Road,Kunduz
601,0,13,6,7,Afghanistan,18/11/2020,5 killed in mortar shelling in Kunduz when it hits homes ,Urban Residential,Kunduz
617,11,0,0,0,Afghanistan,27/11/2020,7 Taliban killed in Afghan airstrike in Imam Sahib district,No Information,Kunduz
641,0,5,0,5,Afghanistan,09/11/2020,Afghan airstrike on home in Khanabad District kills 5,Urban Residential,Kunduz
650,22,20,20,0,Afghanistan,03/11/2020,Car bomb kills 4 security personnel and injures many including civilians in Imam Sahib District,No Information,Kunduz
652,0,7,2,5,Afghanistan,02/11/2020,5 civilians killed in missile fire by Afghan security forces in Khanabad district,Urban Residential,Kunduz
37,0,7,7,0,Afghanistan,08/01/2020,7 civilians injured in Afghan airstrike in Alinger district of Laghman,No Information,Laghman
157,0,7,4,3,Afghanistan,02/05/2020,3 killed and 4 injured in bomb attack in Mehtarlam city,Road,Laghman
186,0,7,6,1,Afghanistan,19/05/2020,1 killed and 6 injured in mortar shelling on residential area in Laghman,Urban Residential,Laghman
191,0,16,12,4,Afghanistan,24/05/2020,At least 4 killed by mortar shelling on home in Alishang district,Urban Residential,Laghman
330,0,10,9,1,Afghanistan,29/07/2020,1 killed and 9 injured in blast in Mehtar Lam in Laghman,Urban Residential,Laghman
333,0,6,5,1,Afghanistan,31/07/2020,1 killed and 5 injured in shelling in Laghman province,Village,Laghman
436,33,0,0,0,Afghanistan,07/09/2020,25 killed and 8 injured in Afghan airstrike in Laghman,No Information,Laghman
466,0,6,3,3,Afghanistan,30/09/2020,3 killed and 3 injured in mortar shelling on home in Alingar district,Urban Residential,Laghman
501,2,3,2,1,Afghanistan,07/10/2020,District governor killed in roadside bomb explosion in Laghman,Road,Laghman
660,0,12,9,3,Afghanistan,14/12/2020,2 men and a girl killed when rocket lands on home in Alishang district in Laghman,Urban Residential,Laghman
77,0,9,8,1,Afghanistan,09/03/2020,Child killed and 8 wounded in roadside bomb explosion in Logar province,Village,Logar
131,1,0,0,0,Afghanistan,16/04/2020,Soldier killed in roadside bomb blast in Charkh district,Road,Logar
150,7,0,0,0,Afghanistan,26/04/2020,7 Taliban killed in airstrike on Logar province's Nasri village,Village,Logar
158,0,4,0,4,Afghanistan,01/05/2020,4 children killed by IED blast in Logar,Urban Residential,Logar
172,0,4,3,1,Afghanistan,09/05/2020,Child killed and 3 wounded by Taliban mortar fire in Logar,Village,Logar
332,10,32,21,11,Afghanistan,30/07/2020,9 killed in suicide bombing in Logar's Pul-e-Alam,Commercial Premises,Logar
366,0,3,0,3,Afghanistan,12/08/2020,US drone strike killled at least 3 civilians inLogar province,No Information,Logar
463,6,0,0,0,Afghanistan,27/09/2020,6 Taliban killed in Afghan airstrike on Taliban camp in Logar,No Information,Logar
35,0,8,0,8,Afghanistan,31/01/2020,8 killed in Tarin Kot city by US air strike,No Information,Nangarhar
51,0,8,0,8,Afghanistan,14/02/2020,8 civilians killed in US airstrike on vehicle in Nangarhar,Village,Nangarhar
53,10,0,0,0,Afghanistan,14/02/2020,6 Taliban killed and 4 injured in airstrikes on Sherzad district,No Information,Nangarhar
88,2,0,0,0,Afghanistan,18/03/2020,Roadside bomb kills Taliban commander and security guard in Nangarhar,Road,Nangarhar
98,0,4,2,2,Afghanistan,28/03/2020,Bomb explosion hits car in Nangarhar killing 2 religious scholars,Road,Nangarhar
174,1,92,68,24,Afghanistan,12/05/2020,32 killed and 133 wounded in suicide bombing at funeral in Nangarhar ,Place Of Worship,Nangarhar
187,1,2,2,0,Afghanistan,21/05/2020,District head and son were injured in suicide attack in Behsud district,Road,Nangarhar
218,0,1,0,1,Afghanistan,09/06/2020,1 killed in roadside bomb blast near bakery in Nangarhar,Commercial Premises,Nangarhar
222,0,6,3,3,Afghanistan,25/05/2020,Roadside bomb in Tarin Kot kills woman and 2 children ,Village,Nangarhar
241,0,4,3,1,Afghanistan,14/06/2020,Roadside bomb kills 1  and wounds 3 in Jalalabad city,Urban Residential,Nangarhar
289,1,0,0,0,Afghanistan,05/07/2020,Army engineer killed in landmine blast in Nangarhar,No Information,Nangarhar
293,7,9,9,0,Afghanistan,07/07/2020,Suicide car bomber targeted Afghan police convoy in Nangarhar killing 4 police,Market,Nangarhar
334,1,19,18,1,Afghanistan,02/08/2020,At least 3 killed in complex suicide attack involving gunmen against prison in Jalalabad - seems many hurt in gun battle. At least 1 killed in blast and 18 injured ,Police Station,Nangarhar
354,0,9,9,0,Afghanistan,08/08/2020,9 wounded by mortar attack on home in Sherzad district,Urban Residential,Nangarhar
437,0,10,4,6,Afghanistan,07/09/2020,6 killed in mortar attack on home in Nangarhar,Urban Residential,Nangarhar
516,0,1,0,1,Afghanistan,17/10/2020,Bomb detonates outisde religious school in Nangarhar killing director,School,Nangarhar
616,14,0,0,0,Afghanistan,27/11/2020,14 Taliban killed in Afghan airstrikes on hideouts in the Zavi area of Khogyani district,No Information,Nangarhar
636,0,2,0,2,Afghanistan,15/11/2020,Roadside bomb explosion kills 2 civilian in Khogyani District,Road,Nangarhar
659,0,4,0,4,Afghanistan,13/12/2020,Roadside bomb blast in Khogyani kills 4 in Nangarhar,Village,Nangarhar
671,3,0,0,0,Afghanistan,20/12/2020,Roadside bomb struck a police van injuring 3 police in Jalalabad city,Road,Nangarhar
683,11,0,0,0,Afghanistan,23/12/2020,9 Taliban killed and 2 injured in Afghan airstrike on Sherzad district ,No Information,Nangarhar
684,3,0,0,0,Afghanistan,22/12/2020,3 Taliban killed in a joint Afghan security forces airstrike in the Sherzad district,No Information,Nangarhar
698,18,0,0,0,Afghanistan,31/12/2020,18 Taliban killed in airstrike on Nangarhar province in Pachiragam district,No Information,Nangarhar
700,0,1,0,1,Afghanistan,31/12/2020,1 killed in roadside bomb blast in Jalalabad's PD1,Urban Residential,Nangarhar
11,3,0,0,0,Afghanistan,15/01/2020,Air strike kills 3 Taliban in Khasro district in Nimroz,No Information,Nimruz
352,0,7,0,7,Afghanistan,05/08/2020,6 killed and 1 wounded in roadside bomb blast in Nimroz province ,Road,Nimruz
425,5,0,0,0,Afghanistan,06/08/2020,"Roadside bomb in the Chore Sanarud area of Charburjak District, killing one police officer",Road,Nimruz
522,7,0,0,0,Afghanistan,20/10/2020,5 police killed in roadside bomb in Nimroz,Road,Nimruz
523,7,0,0,0,Afghanistan,20/10/2020,7 police killed in roadside bomb in Kang district,Road,Nimruz
73,4,0,0,0,Afghanistan,04/03/2020,4 police injured in roadside bombing in Uruzgan,Road,Oruzgan
105,10,0,0,0,Afghanistan,05/04/2020,6 Taliban killed in airstrike on Khas Uruzgan district,No Information,Oruzgan
107,0,10,2,8,Afghanistan,04/04/2020,8 killed and 2 injured in airstrike on Uruzgan,No Information,Oruzgan
319,7,0,0,0,Afghanistan,22/07/2020,7 security personnel killed in roadside bomb in Uruzgan,No Information,Oruzgan
372,4,0,0,0,Afghanistan,20/08/2020,3 Taliban killed and 1 wounded in airstrike in Uruzgan province,No Information,Oruzgan
379,3,0,0,0,Afghanistan,20/08/2020,3 police killed and 2 injured in roadside bomb in Uruzgan,No Information,Oruzgan
430,0,4,0,4,Afghanistan,31/07/2020,4 killed in Taliban roadside bomb explosion in Uruzgan province,Road,Oruzgan
438,0,2,1,1,Afghanistan,06/09/2020,Pressure plate roadside bomb blast in Uruzgan kills 1 and wounds 1 ,Road,Oruzgan
572,11,0,0,0,Afghanistan,06/10/2020,"Taliban explosives in a tunnel under a security outpost in Khas Uruzgan District detonated, killing eight police",Armed Base,Oruzgan
598,15,3,0,3,Afghanistan,16/11/2020,3 civilians killed in Afghan airstrikes targting Taliban in Uruzgan,Urban Residential,Oruzgan
701,6,0,0,0,Afghanistan,26/12/2020,3 police killed in Taliban bomb blasts in Uruzgan,Armed Base,Oruzgan
120,2,1,1,0,Afghanistan,23/03/2020,1 police killed and 1 injured and 1 civilian wounded by motorcycle bomb at entrance to Paktia university,School,Paktia
132,0,5,3,2,Afghanistan,16/04/2020,Taliban fired mortar hitshome in Pakhri area of Paktia,Urban Residential,Paktia
168,0,1,0,1,Afghanistan,17/04/2020,Taxi hits roadside bomb in Rabat area of Gardez killing driver,Urban Residential,Paktia
179,7,24,19,5,Afghanistan,14/05/2020,5 killed and 24 wounded in car bomb in Gardez city,No Information,Paktia
203,2,0,0,0,Afghanistan,02/06/2020,Landmine blast in Paktia province killed police chief and his guard,No Information,Paktia
216,4,0,0,0,Afghanistan,06/06/2020,2 border guards killed in roadside bomb explosion in Paktia,Road,Paktia
288,3,0,0,0,Afghanistan,03/07/2020,NDS member killed and 2 injured in roadside bomb blast in Paktia,Road,Paktia
294,3,0,0,0,Afghanistan,07/07/2020,1 soldier killed and 2 injured in car bomb blast in Paktia,No Information,Paktia
357,0,2,0,2,Afghanistan,07/08/2020,2 killed in roadside bomb blast in Paktia ,No Information,Paktia
394,3,1,1,0,Afghanistan,29/08/2020,4 injured in two roadside bombs in eastern Paktia province,No Information,Paktia
397,9,0,0,0,Afghanistan,01/09/2020,3 soldiers killed and 5 injured in Taliban car bomb and gun battle in Gardez at military base,Armed Base,Paktia
514,0,4,4,0,Afghanistan,16/10/2020,4 wounded in IED blast in Chamkani district ,Multiple (urban),Paktia
566,0,3,0,3,Afghanistan,13/10/2020,"Taliban launched mortars on a residential area in the Khalilan village of Merzaka District, killing three civilians",Village,Paktia
100,1,3,0,3,Afghanistan,31/03/2020,Explosion in Paktika killed 4 including 1 police,No Information,Paktika
115,0,6,0,6,Afghanistan,20/04/2020,6 killed in roadside bomb blast in Paktika,Village,Paktika
127,0,1,0,1,Afghanistan,16/03/2020,Shepherd child killed by roadside bomb in Band-e-Sharan village,Village,Paktika
309,4,0,0,0,Afghanistan,18/07/2020,Police commander killed in landmine blast in Paktika,Road,Paktika
455,0,30,30,0,Afghanistan,19/09/2020,19 wounded by roadside bomb as it struck wedding convoy in Paktika,Road,Paktika
531,0,4,0,4,Afghanistan,26/10/2020,4 children killed in bomb blast infront of home in Paktika,Urban Residential,Paktika
235,2,0,0,0,Afghanistan,11/05/2020,Roadside bomb kills 2 police in Seyasang Dara area,Road,Panjshir
298,0,14,8,6,Afghanistan,11/07/2020,6 killed and 8 wounded in roadside bomb explosion in Dara-e-Qiaq area ,Public Transport,Panjshir
668,7,0,0,0,Afghanistan,20/12/2020,7 Taliban killed in Afghan airstrike in Char Dara district,No Information,Panjshir
195,0,8,5,3,Afghanistan,30/05/2020,Mortar shell hits homes in Parwan killing 3 civilians in home,Urban Residential,Parwan
258,17,0,0,0,Afghanistan,30/06/2020,17 Taliban killed in airstrike on Parwan province ,No Information,Parwan
512,4,0,0,0,Afghanistan,17/10/2020,3 police killed and 1 wounded in roadside bomb in Parwan ,Road,Parwan
674,5,0,0,0,Afghanistan,21/12/2020,5 police killed when car hit IED in Charikar city,No Information,Parwan
696,3,0,0,0,Afghanistan,29/12/2020,Bomb attack on head of appellant attorney office's convoy in Parwan province injuring 3 bodyguards,Market,Parwan
301,12,63,63,0,Afghanistan,13/07/2020,11 intelligence personnel killed in attack on compound in Aybak - 63 wounded including civilians and personnel and nearby homes damaged,Armed Base,Samangan
65,5,0,0,0,Afghanistan,21/02/2020,5 Taliban killed in airstrike in Sar-e Pul province,No Information,Sar-e Pol
211,0,7,4,3,Afghanistan,02/06/2020,3 killed and 4 injured in roadside bomb blast in Sari Pul province just outside capital,Road,Sar-e Pol
392,0,2,0,2,Afghanistan,29/08/2020,Roadside bomb kills father and son in Sari Pul province ,Road,Sar-e Pol
460,8,0,0,0,Afghanistan,21/09/2020,5 Taliban killed in Sozma Qala district in airstrikes,No Information,Sar-e Pol
48,0,5,4,1,Afghanistan,09/02/2020,Child killed and 4 injured in mortar fire on home in Takhar,Urban Residential,Takhar
54,5,0,0,0,Afghanistan,14/02/2020,5 Taliban killedin airstrikes in Takhar province,No Information,Takhar
56,10,0,0,0,Afghanistan,14/02/2020,7 Taliban killed in airstrike on Takhar ,No Information,Takhar
167,5,0,0,0,Afghanistan,17/04/2020,5 soldiers killed by roadside bomb in Qandahariha village of Khwaja Ghar District,Village,Takhar
284,5,0,0,0,Afghanistan,09/06/2020,1 police killed and 4 wounded in roadside bomb explosion in Takhar,Road,Takhar
446,12,0,0,0,Afghanistan,12/09/2020,12 Taliban killed in airstrike on gathering in Chanzai area outside Taluqan city,No Information,Takhar
453,0,14,12,2,Afghanistan,15/09/2020,IED blast in Kalafgan district kills 2 and injures 12,Commercial Premises,Takhar
520,0,26,14,12,Afghanistan,21/10/2020,"12 children killed and several wounded in airstrike on mosque in Takhar, suspecting Taliban were hiding there",Place Of Worship,Takhar
568,2,0,0,0,Afghanistan,13/10/2020,"Roadside bomb hit a police vehicle in Aryaan village of Baharak District, killing two police ",Village,Takhar
672,1,3,3,0,Afghanistan,20/12/2020,Magnetic bomb injures 4 including 1 police officer in Baharak district,No Information,Takhar
685,7,0,0,0,Afghanistan,24/12/2020,4 police killed and 3 injured in roadside bomb explosion in Takhar province when it struck SUV Humvee,Road,Takhar
265,3,0,0,0,Afghanistan,28/06/2020,Roadside bomb kills 1 police officer in Chinarto district,Road,Urozgan
197,0,6,3,3,Afghanistan,30/05/2020,Mortar shell hits home in Maidan Wardak province,Urban Residential,Wardak
349,1,0,0,0,Afghanistan,08/07/2020,Taliban mortar fire kills 1 police in Wardak targeting district governor's office,Public Building,Wardak
385,0,7,0,7,Afghanistan,23/08/2020,Roadside bomb kills 7 civilians in Jaghatu district,Road,Wardak
521,0,14,9,5,Afghanistan,20/10/2020,5 killed and 9 injured in two roadside bomb blasts in Jalrez district,Road,Wardak
533,1,3,0,3,Afghanistan,25/10/2020,"US airstrike in Narkh district, Wardak kills 3 civilians and a Taliban commander -some report more Taliban killed",No Information,Wardak
550,0,1,0,1,Afghanistan,27/10/2020,Roadside bomb in Chak district kills one civilian,Road,Wardak
552,0,4,0,4,Afghanistan,25/10/2020,Roadside bomb kills 4 civilians in Wardak/s Kota-e-Ashro area,Road,Wardak
633,0,2,0,2,Afghanistan,21/11/2020,2 killed in bomb explosion in Maidan Shahr in Wardak province,No Information,Wardak
699,7,0,0,0,Afghanistan,31/12/2020,Car bomb attack kills 3 soldiers in Maidan Wardak province,No Information,Wardak
14,0,5,0,5,Afghanistan,16/01/2020,5 killed including governmnet employees in Zabul,Road,Zabul
67,4,0,0,0,Afghanistan,25/02/2020,4 soldiers injured by roadside bomb in Zabul,Road,Zabul
106,21,0,0,0,Afghanistan,05/04/2020,21 Taliban killed in airstrikes in Zabul,No Information,Zabul
109,7,0,0,0,Afghanistan,11/04/2020,3 Taliban killed in airstrike in Zabul,No Information,Zabul
133,4,0,0,0,Afghanistan,14/04/2020,2 police killed in roadside bomb in Zabul,Road,Zabul
184,0,13,9,4,Afghanistan,19/05/2020,Bomb blast in Zabul kills 4 and injures 9 in Mezana district,Road,Zabul
220,18,0,0,0,Afghanistan,27/05/2020,18 Taliban fighters killed in Afghan airstrike in Zabul province,No Information,Zabul
310,5,0,0,0,Afghanistan,18/07/2020,1 police killed and 4 wounded in IED explosion in Shar-e-Safa area in Zabul,No Information,Zabul
328,0,5,2,3,Afghanistan,28/07/2020,IED kills 3 and wounds 2 in southern Zabul ,Road,Zabul
341,0,5,3,2,Afghanistan,22/07/2020,2 killed in roadside bomb in in the Jelawor area of Arghandab District,No Information,Zabul
393,0,9,4,5,Afghanistan,29/08/2020,5 killed and 4 wounded in 2 roadside bomb blasts in Shahjoy district,Road,Zabul
511,6,0,0,0,Afghanistan,15/10/2020,Car bomb wounds 6 police at Zabul checkpoint,Armed Base,Zabul
535,0,8,5,3,Afghanistan,27/10/2020,3 killed and 5 injured in roadside bomb blast in Shinkai district ,Road,Zabul
577,0,7,2,5,Afghanistan,07/11/2020,5 killed in 2 wounded in roadside bomb blast in Arghandab district,Village,Zabul
582,4,16,12,4,Afghanistan,07/11/2020,Car bomb detonates in Qalat district of Zabul killing 4 and injuring 12,Commercial Premises,Zabul
